Datetime,Frequency (kHz),Capacitance (nF),Resistance (kΩ)
2024-02-28 19:39:38,30.150752,0.0,0.0
2024-02-28 19:39:38,30.150752,10.613334,0.0
2024-02-28 19:39:38,28.708132,10.613334,0.0
2024-02-28 19:39:38,28.708132,11.146668,0.0
2024-02-28 19:39:38,30.150752,11.146668,0.0
2024-02-28 19:39:38,30.150752,10.613334,0.0
2024-02-28 19:39:38,28.169012,10.613334,0.0
2024-02-28 19:39:39,28.169012,11.36,0.0
2024-02-28 19:39:39,28.436016,11.36,0.0
2024-02-28 19:39:39,28.436016,11.253334,0.0
2024-02-28 19:39:39,30.0,11.253334,0.0
2024-02-28 19:39:39,30.0,10.666668,0.0
2024-02-28 19:39:39,28.571424,10.666668,0.0
2024-02-28 19:39:40,28.571424,11.2,0.0
2024-02-28 19:39:40,30.0,11.2,0.0
2024-02-28 19:39:40,30.0,10.666668,0.0
2024-02-28 19:39:42,30.0,10.666668,0.0
2024-02-28 19:39:42,30.0,11.253334,0.0
2024-02-28 19:39:42,30.303028,11.253334,0.0
2024-02-28 19:39:42,30.303028,10.56,0.0
2024-02-28 19:39:43,30.0,10.56,0.0
2024-02-28 19:39:43,30.0,10.666668,0.0
2024-02-28 19:39:43,28.301888,10.666668,0.0
2024-02-28 19:39:43,28.301888,11.306668,0.0
2024-02-28 19:39:43,30.150752,11.306668,0.0
2024-02-28 19:39:43,30.150752,10.613334,0.0
2024-02-28 19:39:44,30.150752,10.613334,0.0
2024-02-28 19:39:44,30.150752,10.613334,0.0
2024-02-28 19:39:44,28.84615,10.613334,0.0
2024-02-28 19:39:44,28.84615,11.093334,0.0
2024-02-28 19:39:44,30.0,11.093334,0.0
2024-02-28 19:39:44,30.0,10.666668,0.0
2024-02-28 19:39:44,28.708132,10.666668,0.0
2024-02-28 19:39:45,28.708132,11.146668,0.0
2024-02-28 19:39:45,29.126208,11.146668,0.0
2024-02-28 19:39:45,29.126208,10.986668,0.0
2024-02-28 19:39:45,30.0,10.986668,0.0
2024-02-28 19:39:45,30.0,10.666668,0.0
2024-02-28 19:39:45,28.571424,10.666668,0.0
2024-02-28 19:39:45,28.571424,11.2,0.0
2024-02-28 19:39:46,30.150752,11.2,0.0
2024-02-28 19:39:46,30.150752,10.613334,0.0
2024-02-28 19:39:46,29.850746,10.613334,0.0
2024-02-28 19:39:46,29.850746,10.72,0.0
2024-02-28 19:39:46,28.571424,10.72,0.0
2024-02-28 19:39:46,28.571424,11.2,0.0
2024-02-28 19:39:46,30.0,11.2,0.0
2024-02-28 19:39:47,30.0,10.666668,0.0
2024-02-28 19:39:47,29.268294,10.666668,0.0
2024-02-28 19:39:47,29.268294,10.933334,0.0
2024-02-28 19:39:47,28.571424,10.933334,0.0
2024-02-28 19:39:47,28.571424,11.2,0.0
2024-02-28 19:39:47,30.0,11.2,0.0
2024-02-28 19:39:47,30.0,10.666668,0.0
2024-02-28 19:39:48,28.436016,10.666668,0.0
2024-02-28 19:39:48,28.436016,11.253334,0.0
2024-02-28 19:39:48,30.0,11.253334,0.0
2024-02-28 19:39:48,30.0,10.666668,0.0
2024-02-28 19:39:48,30.0,10.666668,0.0
2024-02-28 19:39:48,30.0,10.666668,0.0
2024-02-28 19:39:48,28.708132,10.666668,0.0
2024-02-28 19:39:49,28.708132,11.146668,0.0
2024-02-28 19:39:49,30.150752,11.146668,0.0
2024-02-28 19:39:49,30.150752,10.613334,0.0
2024-02-28 19:39:49,30.303028,10.613334,0.0
2024-02-28 19:39:49,30.303028,10.56,0.0
2024-02-28 19:39:49,28.84615,10.56,0.0
2024-02-28 19:39:50,28.84615,11.093334,0.0
2024-02-28 19:39:50,28.84615,11.093334,0.0
2024-02-28 19:39:50,28.84615,11.093334,9.621655
2024-02-28 19:39:50,28.708132,11.093334,9.621655
2024-02-28 19:39:50,28.708132,11.146668,9.621655
2024-02-28 19:39:50,28.708132,11.146668,9.636627
2024-02-28 19:39:51,28.985508,11.146668,9.636627
2024-02-28 19:39:51,28.985508,11.04,9.636627
